Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,112.370003,113.389999,111.510002,113.330002,96.833946,118944600
2010-01-05,113.260002,113.680000,112.849998,113.629997,97.090271,111579900
2010-01-06,113.519997,113.989998,113.430000,113.709999,97.158661,116074400
2010-01-07,113.500000,114.330002,113.180000,114.190002,97.568771,131091100
2010-01-08,113.889999,114.620003,113.660004,114.570000,97.893463,126402800
2010-01-11,115.080002,115.129997,114.239998,114.730003,98.030159,106375700
2010-01-12,113.970001,114.209999,113.220001,113.660004,97.115906,163333500
2010-01-13,113.949997,114.940002,113.370003,114.620003,97.936180,161822000
2010-01-14,114.489998,115.139999,114.419998,114.930000,98.201057,115718800
2010-01-15,114.730003,114.839996,113.199997,113.639999,97.098839,212283100
2010-01-19,113.620003,115.129997,113.589996,115.059998,98.312141,139172700
2010-01-20,114.279999,114.449997,112.980003,113.889999,97.312408,216490200
2010-01-21,113.919998,114.269997,111.559998,111.699997,95.441216,344859600
2010-01-22,111.199997,111.739998,109.089996,109.209999,93.313667,345942400
2010-01-25,110.209999,110.410004,109.410004,109.769997,93.792122,186937500
2010-01-26,109.339996,110.470001,109.040001,109.309998,93.399094,211168800
2010-01-27,109.169998,110.080002,108.330002,109.830002,93.843430,271863600
2010-01-28,110.190002,110.250000,107.910004,108.570000,92.766815,316104000
2010-01-29,109.040001,109.800003,107.220001,107.389999,91.758560,310677600
2010-02-01,108.150002,109.070000,107.500000,109.059998,93.185493,187865000
2010-02-02,109.260002,110.589996,108.879997,110.379997,94.313339,216327900
2010-02-03,109.879997,110.480003,109.510002,109.830002,93.843430,172730700
2010-02-04,108.980003,109.029999,106.419998,106.440002,90.946846,356715700
2010-02-05,106.559998,106.879997,104.580002,106.660004,91.134834,493585800
2010-02-08,106.739998,107.330002,105.809998,105.889999,90.476906,224166900
2010-02-09,107.129997,108.150002,106.269997,107.220001,91.613304,337820500
2010-02-10,107.050003,107.599998,106.110001,107.010002,91.433899,240511500
2010-02-11,106.870003,108.250000,106.250000,108.129997,92.390854,223591600
2010-02-12,106.989998,108.099998,106.510002,108.040001,92.313950,304622100
2010-02-16,108.860001,109.849998,107.820000,109.739998,93.766502,159317500
2010-02-17,110.269997,110.410004,109.739998,110.260002,94.210800,168845100
2010-02-18,110.080002,111.139999,110.040001,110.910004,94.766243,193708600
2010-02-19,110.620003,111.570000,110.360001,111.139999,94.962730,222684900
2010-02-22,111.550003,111.580002,110.830002,111.160004,94.979813,132346900
2010-02-23,110.860001,111.199997,109.519997,109.809998,93.826309,207497000
2010-02-24,110.139999,111.000000,109.860001,110.820000,94.689323,176350700
2010-02-25,109.239998,110.750000,108.940002,110.669998,94.561142,259634700
2010-02-26,110.769997,111.120003,110.110001,110.739998,94.620926,173589300
2010-03-01,111.199997,112.000000,111.169998,111.889999,95.603539,147709700
2010-03-02,112.370003,112.739998,112.000000,112.199997,95.868439,160992400
2010-03-03,112.489998,112.970001,112.019997,112.300003,95.953873,150785000
2010-03-04,112.449997,112.800003,112.029999,112.639999,96.244377,135770400
2010-03-05,113.370003,114.339996,113.099998,114.250000,97.620026,176118800
2010-03-08,114.260002,114.519997,114.070000,114.269997,97.637108,114631200
2010-03-09,113.930000,114.989998,113.870003,114.459999,97.799477,154556700
2010-03-10,114.510002,115.279999,114.410004,114.970001,98.235222,186088800
2010-03-11,114.699997,115.480003,114.349998,115.449997,98.645363,160791100
2010-03-12,115.949997,115.970001,115.139999,115.459999,98.653923,162074800
2010-03-15,115.260002,115.570000,114.599998,115.489998,98.679543,146816800
2010-03-16,115.809998,116.519997,115.489998,116.410004,99.465637,168673000
2010-03-17,116.760002,117.480003,116.419998,117.099998,100.055183,177468100
2010-03-18,117.110001,117.269997,116.570000,117.040001,100.003952,196509100
2010-03-19,115.970001,117.290001,115.519997,115.970001,99.497734,226641100
2010-03-22,115.309998,116.800003,115.239998,116.589996,100.029663,184477800
2010-03-23,116.760002,117.510002,116.379997,117.410004,100.733223,182941600
2010-03-24,116.970001,117.430000,115.580002,116.839996,100.244148,196072600
2010-03-25,117.629997,118.169998,116.510002,116.650002,100.081146,223396300
2010-03-26,116.870003,117.419998,116.120003,116.580002,100.021080,205808500
2010-03-29,117.169998,117.529999,116.690002,117.320000,100.655998,134513500
2010-03-30,117.459999,117.830002,116.910004,117.400002,100.724617,145772500
2010-03-31,116.949997,117.519997,116.610001,117.000000,100.381424,161078700
2010-04-01,117.800003,118.250000,117.099998,117.800003,101.067833,161215200
2010-04-05,118.250000,118.839996,117.919998,118.760002,101.891441,105847600
2010-04-06,118.419998,119.250000,118.290001,119.040001,102.131676,110384200
2010-04-07,118.800003,119.360001,117.809998,118.360001,101.548256,184576300
2010-04-08,117.949997,118.970001,117.599998,118.769997,101.900032,158704000
2010-04-09,119.019997,119.599998,118.800003,119.550003,102.569237,133006500
2010-04-12,119.699997,120.050003,119.559998,119.739998,102.732262,110279000
2010-04-13,119.620003,120.040001,119.000000,119.830002,102.809471,125043600
2010-04-14,120.269997,121.190002,120.080002,121.190002,103.976318,161609000
2010-04-15,120.989998,121.570000,120.949997,121.290001,104.062096,144615300
2010-04-16,120.860001,121.290001,118.750000,119.360001,102.406227,366786700
2010-04-19,119.010002,119.930000,118.470001,119.809998,102.792297,217947800
2010-04-20,120.559998,120.980003,119.870003,120.879997,103.710327,157708000
2010-04-21,120.949997,121.230003,119.989998,120.660004,103.521576,192910100
2010-04-22,119.809998,121.169998,119.120003,121.019997,103.830437,115360300
2010-04-23,120.940002,121.860001,120.629997,121.809998,104.508232,177335500
2010-04-26,121.849998,122.120003,121.230003,121.349998,104.113571,143457300
2010-04-27,120.650002,121.339996,118.250000,118.480003,101.651237,355853300
2010-04-28,119.050003,119.680000,118.269997,119.379997,102.423378,300674100
2010-04-29,120.099998,121.110001,120.070000,120.860001,103.693161,193775000
2010-04-30,120.879997,121.010002,118.779999,118.809998,101.934349,270000900
2010-05-03,119.379997,120.680000,119.199997,120.349998,103.255608,182747900
2010-05-04,119.010002,119.029999,116.919998,117.519997,100.827553,360353400
2010-05-05,116.559998,117.800003,115.970001,116.820000,100.226997,328973200
2010-05-06,116.260002,117.000000,105.000000,112.940002,96.898125,647356600
2010-05-07,112.639999,113.769997,109.410004,111.260002,95.456749,637558800
2010-05-10,115.809998,116.650002,114.910004,116.160004,99.660736,396159600
2010-05-11,115.070000,117.360001,114.910004,115.830002,99.377617,317849800
2010-05-12,116.290001,117.620003,116.089996,117.449997,100.767532,235607100
2010-05-13,117.129997,117.680000,115.889999,115.989998,99.514893,234452500
2010-05-14,115.120003,115.330002,112.870003,113.889999,97.713173,345601400
2010-05-17,114.199997,114.519997,111.769997,113.949997,97.764648,325739800
2010-05-18,114.879997,115.220001,112.029999,112.400002,96.434837,360556800
2010-05-19,111.769997,112.769997,110.360001,111.760002,95.885719,394742700
2010-05-20,109.379997,109.889999,107.470001,107.540001,92.265114,530418300
2010-05-21,105.910004,109.379997,105.360001,109.110001,93.612106,500909400
2010-05-24,108.519997,109.389999,107.610001,107.709999,92.410980,269823000
2010-05-25,105.110001,107.870003,104.379997,107.820000,92.505348,396505200
